0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,405,0,0,0,0,405,0,0,405,0,0,0,0,0,0,405,0,0,0
0,0,0,405,405,0,405,405,0,0,405,405,405,405,0,0,0,405,405,0
0,405,0,405,0,405,0,405,0,0,405,0,0,0,405,0,0,405,405,0
405,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0
243,243,243,243,243,243,243,243,243,243,0,0,243,243,243,243,243,243,243,243
1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,286,-1073741538,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437
1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,286,-1073741538,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437
1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,1610613036,286,-1073741538,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437,-1610612437
323,323,323,323,323,323,323,323,323,323,1201,1201,323,323,323,323,323,323,323,323
0,1174,1175,1175,1175,1175,1175,1176,0,1200,1201,1201,1202,0,0,405,0,405,0,0
0,1214,1178,1217,1218,1178,1177,1216,405,1200,1201,1201,1202,0,405,0,0,405,0,0
0,1214,1217,1218,1218,1217,1177,1216,0,1200,1201,1201,1202,405,0,0,0,0,405,0
0,1214,1177,1218,1177,1177,1177,1216,405,1200,1201,1201,1202,0,0,0,0,0,0,0
0,1254,1255,1255,1255,1255,1255,1256,405,1200,1201,1201,1202,405,405,0,0,0,0,0
