241,-1,280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280,281,-1,-1,-1,280
281,-1,-1,-1,-1,-1,151,152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,240,241,-1,-1,191,192,-1,-1,-1,-1,-1,-1,-1,-1,240,241,-1,-1
-1,-1,280,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,240,241,-1,280,281,-1,240
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,280,281,-1,-1,-1,-1,280
684,684,684,684,684,684,684,684,684,245,-1,-1,247,684,684,684,684,684,684,684
-1,333,334,-1,-1,-1,-1,-1,-1,285,-1,-1,-1073741539,-1,2,-1,-1,-1,413,-1
-1,373,374,-1,-1,4,5,-1,-1,285,-1,-1,-1073741539,4,-1,-1,291,292,-1,-1
-1,-1,-1,-1,414,-1,-1,-1,-1,285,-1,-1,-1073741539,-1,-1,-1,331,332,-1,-1
602,602,602,602,602,602,602,602,602,325,-1,-1,327,602,602,602,602,602,602,602
-1,-1,-1,-1,-1,-1,-1,-1,-1,680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,724,-1,-1,-1,-1,388,389,390,-1,-1,187
-1,-1,-1,-1,-1,-1,-1,-1,-1,720,-1,-1,-1,-1,428,429,430,-1,-1,227
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,468,469,470,-1,-1,267
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,267
